NAME;GK;CWP;CBT;SB;DMF;WB;CMF;SMF;AMF;WF;SS;CF;REGISTERED POSITION;HEIGHT;FAVOURED FOOT;FAVOURED SIDE;WEAK FOOT ACCURACY;WEAK FOOT FREQUENCY;ATTACK;DEFENSE;BALANCE;STAMINA;TOP SPEED;ACCELERATION;RESPONSE;AGILITY;DRIBBLE ACCURACY;DRIBBLE SPEED;SHORT PASS ACCURACY;SHORT PASS SPEED;LONG PASS ACCURACY;LONG PASS SPEED;SHOT ACCURACY;SHOT POWER;SHOT TECHNIQUE;FREE KICK ACCURACY;CURLING;HEADING;JUMP;TECHNIQUE;AGGRESSION;MENTALITY;GOAL KEEPING;TEAM WORK;CONSISTENCY;CONDITION / FITNESS;DRIBBLING;TACTIAL DRIBBLE;POSITIONING;REACTION;PLAYMAKING;PASSING;SCORING;1-1 SCORING;POST PLAYER;LINES;MIDDLE SHOOTING;SIDE;CENTRE;PENALTIES;1-TOUCH PASS;OUTSIDE;MARKING;SLIDING;COVERING;D-LINE CONTROL;PENALTY STOPPER;1-ON-1 STOPPER;LONG THROW;INJURY TOLERANCE;DRIBBLE STYLE;FREE KICK STYLE;PK STYLE;DROP KICK STYLE;AGE;WEIGHT;NATIONALITY;CLUB TEAM
Patrick Pentz;1;0;0;0;0;0;0;0;0;0;0;0;0;183;L;B;4;6;30;79;74;80;67;64;84;79;60;63;71;68;73;70;45;75;45;61;45;55;83;55;81;76;74;74;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;80;Austria;
Alexander Prass;0;0;0;1;0;0;0;1;1;0;0;0;4;180;L;L;5;6;78;69;74;85;84;80;71;75;76;79;77;80;71;73;66;77;72;60;62;64;77;71;74;80;50;77;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;22;72;Austria;TSG 1899 Hoffenheim
Daniliuc;0;0;1;0;0;0;0;0;0;0;0;0;3;188;R;B;7;7;61;78;80;68;56;53;73;62;70;57;76;64;68;51;61;68;70;61;62;83;68;81;62;74;50;77;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;21;80;Austria;Hellas Verona
Kevin Danso;0;0;1;0;0;0;0;0;0;0;0;0;3;190;R;B;5;5;64;83;91;80;85;70;83;66;72;75;76;70;65;60;62;66;62;62;62;85;90;75;70;83;50;83;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;C;1;1;1;1;25;85;Austria;Tottenham Hotspur
M. Entrup;0;0;0;0;0;0;0;0;0;0;0;1;12;186;R;B;6;5;83;53;76;80;78;77;73;79;67;70;77;73;74;70;76;73;74;61;66;66;79;66;81;78;50;78;7;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;73;Austria;
Matthias Seidl;0;0;0;0;0;0;1;0;1;0;0;0;7;175;R;B;5;6;79;66;76;82;78;70;77;76;74;75;75;77;69;70;71;71;71;65;66;68;74;72;77;76;50;81;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;70;Austria;
Marco Grull;0;0;0;0;0;0;0;1;1;0;0;1;8;182;R;B;6;6;77;59;77;90;82;86;76;83;80;81;75;76;73;76;80;79;76;78;74;64;79;79;76;74;50;71;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;74;Austria;SV Werder Bremen
Heinz Lindner;1;0;0;0;0;0;0;0;0;0;0;0;0;187;R;B;3;6;30;70;69;75;61;63;82;74;51;53;55;57;59;58;45;58;45;51;45;55;81;43;73;74;72;78;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;32;80;Austria;
Laimer;0;0;0;1;1;0;1;0;0;0;0;0;4;180;R;B;5;5;82;86;78;85;82;85;89;82;81;80;85;81;82;79;76;78;73;63;74;75;83;82;87;88;50;83;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;C;1;1;1;1;27;72;Austria;Bayern Munich
Sabitzer;0;0;0;0;1;0;1;0;1;0;0;0;5;178;R;B;6;6;86;82;80;87;73;79;87;80;84;77;86;87;83;85;82;89;85;83;80;70;75;85;87;85;50;85;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;C;1;1;1;1;30;76;Austria;West Ham United
Jeremy Doku;0;0;0;0;0;0;0;0;0;1;0;0;10;173;R;B;5;5;81;59;85;72;92;96;81;95;88;92;81;80;77;77;78;80;75;66;76;63;77;85;81;72;50;78;5;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;22;66;Belgium;Manchester City
De Bruyne;0;0;0;0;0;0;1;0;1;0;0;0;7;181;R;B;8;8;91;78;79;78;72;72;93;74;91;79;95;93;95;94;88;93;90;88;94;68;75;93;93;80;50;89;5;5;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;C;1;1;1;1;33;75;Belgium;Manchester City
De Ketelaere;0;0;0;0;0;0;0;0;1;0;0;1;9;192;L;B;5;5;81;64;74;85;74;75;81;79;87;81;83;84;81;82;81;84;83;77;79;79;82;87;81;75;50;77;6;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;23;79;Belgium;Atalanta BC
Castagne;0;0;0;1;0;0;0;0;0;0;0;0;4;185;R;R;5;5;79;78;71;81;78;74;79;73;79;78;78;74;78;75;66;70;65;61;64;76;77;80;79;80;50;78;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;28;80;Belgium;Fulham FC
Tielemans;0;0;0;0;1;0;1;0;1;0;0;0;7;176;R;B;6;6;85;80;80;86;63;60;87;67;85;73;88;88;85;84;82;87;86;83;86;73;74;88;87;79;50;81;6;6;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;B;1;1;1;1;27;72;Belgium;Aston Villa
Vertonghen;0;0;1;0;0;0;0;0;0;0;0;0;3;189;L;B;5;5;66;84;85;78;61;64;83;63;76;66;79;78;77;76;66;79;68;76;71;82;91;77;68;79;50;83;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;C;1;1;1;1;37;88;Belgium;RSC Anderlecht
Trossard;0;0;0;0;0;0;0;0;0;1;0;1;10;171;R;B;8;8;85;55;77;81;80;89;84;91;87;83;85;85;83;84;86;85;84;76;85;73;79;87;84;71;50;77;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;29;67;Belgium;Arsenal FC
A. Vermeeren;0;0;0;0;1;0;1;0;0;0;0;0;5;177;R;B;6;6;71;79;74;90;78;80;79;81;82;79;83;77;78;72;61;71;69;61;75;64;74;83;75;81;50;77;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;19;70;Belgium;RB Leipzig
Romelu Lukaku;0;0;0;0;0;0;0;0;0;0;0;1;12;191;L;B;6;6;86;59;96;73;88;75;84;70;82;84;81;83;76;81;87;87;78;70;78;86;94;83;84;74;50;82;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;B;1;1;1;1;31;94;Belgium;SSC Napoli
Witsel;0;0;1;0;0;0;0;0;0;0;0;0;3;186;R;B;6;6;74;87;83;74;60;60;85;67;82;68;87;78;79;71;71;69;75;73;75;85;79;84;78;76;50;83;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;B;1;1;1;1;35;81;Belgium;Tottenham Hotspur
Lukebakio;0;0;0;0;0;0;0;1;0;1;0;1;8;187;L;R;5;5;83;55;75;78;89;88;83;85;87;88;81;83;79;84;85;87;81;76;86;66;79;86;83;69;50;74;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;77;Belgium;Chelsea FC
Kaminski;1;0;0;0;0;0;0;0;0;0;0;0;0;190;L;B;5;5;31;75;75;68;54;55;73;70;58;49;61;61;63;60;35;72;47;61;49;55;73;69;42;61;78;67;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;30;82;Belgium;Luton Town
Lois Openda;0;0;0;0;0;0;0;0;0;0;0;1;12;175;R;B;6;6;88;53;85;83;96;95;87;90;85;89;81;83;73;80;88;87;82;65;71;83;94;86;87;82;50;81;6;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;24;79;Belgium;RB Leipzig
A. Onana;0;0;0;0;1;0;1;0;0;0;0;0;5;192;R;B;6;6;76;81;85;80;85;69;80;63;81;82;83;81;74;71;66;79;70;61;76;81;87;81;79;82;50;82;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;22;76;Belgium;Aston Villa
Johan Bakayoko;0;0;0;0;0;0;0;1;0;1;0;0;10;179;L;R;6;6;79;52;74;76;87;90;80;89;84;86;76;75;73;76;79;74;77;66;82;67;74;83;80;67;50;71;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;21;70;Belgium;PSV Eindhoven
Carrasco;0;0;0;0;0;0;0;1;0;1;0;0;10;181;R;L;6;6;83;71;72;81;89;88;83;88;88;89;83;84;82;85;83;86;83;84;88;67;78;87;83;77;50;80;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;B;1;1;1;1;30;73;Belgium;Galatasaray A.S.
Wout Faes;0;0;1;0;1;0;0;0;0;0;0;0;3;187;R;B;4;4;56;78;80;75;68;65;78;65;69;67;76;70;74;68;53;70;56;51;54;82;78;76;69;80;50;79;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;82;Belgium;Leicester City
Debast;0;0;1;0;1;0;1;0;0;0;0;0;5;191;R;B;6;6;68;80;77;83;77;71;80;68;79;77;81;76;76;71;62;73;69;76;76;80;84;81;79;81;50;78;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;20;76;Belgium;Sporting CP
Vranckx;0;0;0;0;1;0;1;0;0;0;0;0;7;183;R;B;8;8;78;78;79;81;60;77;79;77;82;70;81;81;75;75;71;80;72;67;73;73;81;81;79;81;50;78;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;21;78;Belgium;VfL Wolfsburg
Orel Mangala;0;0;0;0;1;0;1;0;0;0;0;0;5;178;R;B;5;5;76;80;82;82;69;79;82;79;85;77;83;76;75;69;63;71;72;62;70;63;76;85;82;82;50;83;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;26;80;Belgium;Everton FC
Maxim De Cuyper;0;0;0;1;0;0;0;0;0;0;0;0;4;183;L;B;6;6;79;76;74;87;79;81;78;81;81;80;81;81;83;83;75;81;77;78;81;72;79;81;78;84;50;81;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;72;Belgium;Club Brugge KV
Theate;0;0;1;1;0;0;0;0;0;0;0;0;3;185;L;B;5;5;53;83;85;79;75;73;83;71;76;74;81;77;77;74;61;74;66;61;62;79;85;78;61;81;50;82;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;78;Belgium;Eintracht Frankfurt
Marius Muller;1;0;0;0;0;0;0;0;0;0;0;0;0;192;R;B;3;3;31;79;72;66;62;62;81;66;58;55;61;62;61;61;61;66;46;54;49;55;75;58;51;68;78;66;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;30;93;Germany;
Hysaj;0;0;0;1;0;0;0;0;0;0;0;0;4;182;R;B;5;5;73;78;71;77;80;74;78;74;77;78;77;74;77;75;62;73;63;62;62;73;74;77;78;80;50;74;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;30;75;Albania;SS Lazio
Asllani;0;0;0;0;1;0;1;0;0;0;0;0;5;179;R;B;5;5;71;76;74;80;71;70;76;70;80;75;83;79;76;72;66;76;70;72;70;71;74;81;76;77;50;76;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;70;Albania;Inter Milan
Djimsiti;0;0;1;0;0;0;0;0;0;0;0;0;3;190;R;B;5;5;65;84;85;78;71;68;83;63;68;66;73;69;69;63;61;66;61;61;62;83;88;71;71;80;50;81;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;31;83;Albania;Atalanta BC
Ismajli;0;0;1;0;0;0;0;0;0;0;0;0;3;185;R;B;5;5;52;79;73;71;77;74;80;73;67;71;71;68;63;55;61;68;60;61;62;77;79;68;55;73;50;75;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;27;76;Albania;FC Empoli
Strakosha;1;0;0;0;0;0;0;0;0;0;0;0;0;193;R;B;4;4;30;84;82;65;64;60;89;75;51;49;53;54;58;60;50;81;48;52;55;45;83;56;67;73;80;69;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;B;1;1;1;1;27;78;Albania;AEK Athens
Ylber Ramadani;0;0;0;0;1;0;1;0;0;0;0;0;5;185;R;B;5;6;58;79;84;86;72;74;84;73;76;75;70;68;69;65;69;79;69;50;51;72;74;63;72;88;50;82;7;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;27;80;Albania;US Lecce
Taulant Seferi;0;0;0;0;0;0;0;0;0;1;0;1;10;184;R;B;6;6;78;48;74;82;78;75;75;69;74;73;71;75;69;70;70;70;74;53;56;72;73;70;68;68;50;79;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;76;Albania;
Amir Abrashi;0;0;0;0;1;0;1;0;0;0;0;0;5;172;R;B;4;5;56;77;61;81;65;67;80;77;68;66;70;71;65;64;59;64;63;68;65;54;77;65;64;90;50;87;7;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;33;74;Albania;
Kumbulla;0;0;1;0;0;0;0;0;0;0;0;0;3;191;R;B;5;5;63;81;80;73;68;65;81;64;68;65;72;68;64;60;61;66;61;61;62;81;84;71;69;77;50;76;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;78;Albania;RCD Espanyol Barcelona
Nedim Bajrami;0;0;0;0;0;0;1;0;1;0;0;0;7;179;R;B;6;6;76;61;70;80;81;78;70;76;80;77;81;84;79;80;78;78;79;78;78;61;72;82;79;72;50;79;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;68;Albania;
Hoxha;0;0;0;0;0;0;0;1;0;1;0;1;10;185;R;L;5;5;72;40;79;78;86;85;72;85;79;83;66;70;62;69;76;76;75;76;79;71;86;77;72;74;50;68;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;77;Albania;GNK Dinamo Zagreb
Medon Berisha;0;0;0;0;1;0;1;0;0;0;0;0;5;186;R;B;6;4;59;65;74;71;61;63;78;72;70;63;73;66;72;71;62;79;71;68;72;60;72;75;70;66;50;75;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;18;76;Albania;US Lecce
Mario Mitaj;0;0;0;1;0;1;0;0;0;0;0;0;4;180;L;L;4;5;70;74;68;82;76;78;74;80;69;73;72;71;68;67;65;71;64;59;61;74;75;69;67;68;50;79;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;19;73;Albania;
Jasir Asani;0;0;0;0;0;0;0;1;0;1;0;0;8;179;L;B;5;5;74;53;60;79;75;73;68;77;78;77;66;72;71;70;68;68;74;77;78;56;69;78;78;58;50;69;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;28;68;Albania;
Klaus Gjasula;0;0;1;0;1;0;0;0;0;0;0;0;3;190;R;B;4;6;57;77;80;78;72;65;76;63;67;66;74;72;66;64;66;71;65;43;45;78;78;65;68;92;50;87;8;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;B;1;1;1;1;33;84;Albania;
Elhan Kastrati;1;0;0;0;0;0;0;0;0;0;0;0;0;189;R;B;4;6;30;75;73;82;73;73;78;76;68;69;67;67;75;72;45;74;45;72;45;55;82;68;74;72;73;74;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;86;Albania;
Enea Mihaj;0;0;1;0;0;0;0;0;0;0;0;0;3;186;R;B;4;6;55;73;81;83;71;68;73;69;68;67;73;70;69;67;62;72;61;57;58;76;80;60;65;71;50;78;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;81;Albania;
Rey Manaj;0;0;0;0;0;0;0;0;0;0;0;1;12;182;R;B;6;6;76;46;87;84;71;71;78;72;74;70;74;77;67;70;81;86;78;76;68;77;78;77;70;76;50;73;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;76;Albania;
Arlind Ajeti;0;0;1;0;0;0;0;0;0;0;0;0;3;184;R;B;4;6;56;76;86;80;72;68;74;72;66;66;65;65;61;61;70;75;65;54;54;79;81;60;60;80;50;71;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;29;83;Albania;
Armando Broja;0;0;0;0;0;0;0;0;0;0;0;1;12;191;R;B;5;5;78;51;84;71;86;67;75;68;78;82;70;75;58;68;79;83;72;61;62;76;81;78;75;72;50;73;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;22;83;Albania;Everton FC
Ivan Balliu;0;0;0;1;0;0;0;0;0;0;0;0;4;174;R;B;5;5;67;66;72;79;75;74;71;80;76;76;75;68;77;70;61;74;66;60;72;65;75;80;77;69;50;71;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;30;65;Albania;Rayo Vallecano
Laci;0;0;0;0;1;0;1;0;0;0;0;0;7;175;R;B;5;5;75;73;76;82;74;79;78;82;79;76;82;81;77;78;72;80;75;78;72;73;82;80;78;83;50;78;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;28;67;Albania;AC Sparta Praga
Muci;0;0;0;0;0;0;0;0;1;1;0;0;9;180;R;B;6;6;78;51;74;73;81;85;77;83;79;80;80;80;76;77;74;81;74;66;71;62;74;80;77;66;50;71;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;23;75;Albania;Besiktas JK
Domagoj Vida;0;0;1;1;1;0;0;0;0;0;0;0;3;184;R;R;4;4;60;79;78;79;69;68;76;68;71;69;74;71;73;70;62;78;68;61;64;84;83;76;66;83;50;69;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;B;1;1;1;1;33;76;Croatia;AEK Athens
Pasalic;0;0;0;0;0;0;1;0;1;0;0;0;7;186;R;B;6;6;85;75;79;86;74;73;80;74;88;79;86;83;80;77;84;81;82;69;74;73;79;89;80;84;50;84;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;29;80;Croatia;Atalanta BC
Pongracic;0;0;1;0;0;0;0;0;0;0;0;0;3;193;R;B;5;5;52;79;86;71;70;62;76;67;69;68;73;69;64;60;61;66;61;61;62;80;85;71;58;75;50;78;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;26;85;Croatia;ACF Fiorentina
Erlic;0;0;1;0;0;0;0;0;0;0;0;0;3;192;R;B;3;3;61;78;83;71;71;60;77;62;65;66;69;66;62;60;61;66;59;61;62;78;78;66;66;76;50;79;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;88;Croatia;Bologna FC 1909
Luka Sucic;0;0;0;0;0;0;1;0;1;0;0;0;7;185;L;B;5;5;79;73;77;81;79;85;79;81;81;80;81;83;79;81;76;85;79;78;80;70;83;81;79;74;50;76;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;21;71;Croatia;Real Sociedad
